"","Age","Income","Gender","Occupation","Education"
"1",24.3952435344779,64479.671815035,"Male","Accountant","Master's Degree"
"2",27.6982251051672,112844.185457826,"Male","Lawyer","Bachelor's Degree"
"3",45.5870831414912,87665.4060768813,"Male","Lawyer","Doctorate"
"4",30.7050839142458,82622.8700301133,"Male","Accountant","Doctorate"
"5",31.2928773516095,52419.0716367492,"Male","Doctor","Doctorate"
"6",47.1506498688328,97748.613759554,"Male","Doctor","Master's Degree"
"7",34.609162059892,60754.7765271462,"Female","Doctor","Bachelor's Degree"
"8",17.3493876539347,16602.9031705932,"Male","Doctor","Master's Degree"
"9",23.1314714810647,80988.6739856119,"Female","Accountant","Doctorate"
"10",25.5433802990004,145949.830453038,"Male","Software Engineer","Bachelor's Degree"
"11",42.2408179743946,71232.6518695804,"Female","Lawyer","Master's Degree"
"12",33.5981382705736,130398.216111252,"Female","Software Engineer","Bachelor's Degree"
"13",34.0077145059405,19105.8645855418,"Female","Lawyer","Master's Degree"
"14",31.1068271594512,97221.901723773,"Female","Doctor","Master's Degree"
"15",24.4415886524593,125970.360197173,"Female","Lawyer","Doctorate"
"16",47.8691313680308,115057.668108336,"Male","Lawyer","Master's Degree"
"17",34.9785047822924,105283.809707447,"Female","Lawyer","Master's Degree"
"18",10.3338284337036,67964.6995847312,"Male","Software Engineer","Master's Degree"
"19",37.0135590156369,57514.7826983209,"Male","Accountant","Master's Degree"
"20",25.2720859227207,48793.5604697543,"Male","Accountant","Master's Degree"
"21",19.3217629401315,105882.329855006,"Male","Lawyer","Doctorate"
"22",27.820250853417,52626.2692907599,"Male","Lawyer","Bachelor's Degree"
"23",19.7399555169276,75472.1278149666,"Male","Doctor","Bachelor's Degree"
"24",22.7110877070886,87195.3903900876,"Male","Accountant","Doctorate"
"25",23.7496073215074,192193.10026161,"Male","Software Engineer","Doctorate"
"26",13.1330668925759,67402.5049152271,"Male","Lawyer","Doctorate"
"27",38.3778704449452,111769.328614243,"Female","Doctor","Doctorate"
"28",31.5337311783652,103898.042478186,"Female","Software Engineer","Master's Degree"
"29",18.6186306298805,51907.1682934936,"Male","Software Engineer","Bachelor's Degree"
"30",42.5381492106993,96434.5956938201,"Male","Doctor","Bachelor's Degree"
"31",34.2646422147681,172227.542921167,"Male","Lawyer","Doctorate"
"32",27.0492851700773,122575.202653961,"Female","Lawyer","Master's Degree"
"33",38.9512566104502,102061.646099647,"Female","Accountant","Master's Degree"
"34",38.7813348753304,78875.1583830188,"Male","Software Engineer","Doctorate"
"35",38.2158108163749,-2662.36107702578,"Female","Software Engineer","Bachelor's Degree"
"36",36.8864025410009,156566.860670709,"Male","Accountant","Doctorate"
"37",35.5391765353759,26967.9964537589,"Female","Accountant","Doctorate"
"38",29.3808828942328,136997.375543867,"Male","Accountant","Bachelor's Degree"
"39",26.9403733626008,195455.178460874,"Female","Accountant","Bachelor's Degree"
"40",26.1952899898762,27805.34195141,"Male","Software Engineer","Doctorate"
"41",23.0529302107949,135089.216768736,"Male","Doctor","Doctorate"
"42",27.920827219804,86890.1255298766,"Male","Doctor","Master's Degree"
"43",17.3460364843174,21392.7920427256,"Female","Accountant","Master's Degree"
"44",51.6895596533851,24266.6173109124,"Female","Lawyer","Doctorate"
"45",42.0796199830499,19923.1913212703,"Male","Lawyer","Master's Degree"
"46",18.7689141679665,73454.6738914849,"Female","Doctor","Doctorate"
"47",25.9711516470092,26912.220750205,"Female","Doctor","Doctorate"
"48",25.3334464637678,134395.838648791,"Female","Lawyer","Master's Degree"
"49",37.7996511833632,205005.447026284,"Female","Lawyer","Doctorate"
"50",29.1663093352817,35648.476198241,"Female","Doctor","Doctorate"
"51",32.5331851399475,139386.942373759,"Female","Accountant","Bachelor's Degree"
"52",29.714532446513,138452.112050045,"Male","Doctor","Doctorate"
"53",29.5712954270868,116610.128947506,"Female","Lawyer","Bachelor's Degree"
"54",43.6860228401446,49581.1695861496,"Female","Lawyer","Master's Degree"
"55",27.7422901434073,94027.3696684671,"Female","Lawyer","Bachelor's Degree"
"56",45.1647060442954,85980.2332414877,"Male","Doctor","Doctorate"
"57",14.5124719576978,128149.476661024,"Female","Accountant","Doctorate"
"58",35.8461374963607,81378.0621948085,"Female","Lawyer","Master's Degree"
"59",31.2385424384461,148848.669334281,"Male","Accountant","Master's Degree"
